id,nome,categoria,acesso,custo,cobertura,entidades,conteudo_interesse,limitacoes,evidencia_url,nivel_evidencia,data_consulta,integracao_testada,schema_nativo_completo
broadage,Broadage,APIs de futebol,API e widgets comerciais,Sob consulta,Multiesporte; ligas conforme pacote,partida;classificacao;equipe;estatistica,Livescore; fixtures; standings; estatísticas,Conferir se a oferta é API de dados ou apenas widget e quais ligas estão incluídas.,https://www.broadage.com/,pagina,2026-09-14,False,False
betsapi,BetsAPI,APIs de futebol,API com token,Comercial,Multiesporte; futebol e mercados cobertos,partida;equipe;odd,Eventos; livescore; histórico; odds,Cobertura e disponibilidade variam por feed e casa; revisar proveniência e licença.,https://betsapi.com/docs/,documentacao,2026-09-14,False,False
isportsapi,iSports API,APIs de futebol,API comercial,Planos a consultar,Futebol global conforme cobertura,partida;equipe;jogador;estatistica;odd,Resultados; estatísticas; dados de ligas; odds,Solicitar amostra por competição e confirmar campos contratados.,https://www.isportsapi.com/,pagina,2026-09-14,False,False
sportdevs,SportDevs Football,APIs de futebol,REST JSON com token; documentação pública,Planos a consultar,Ligas cobertas pelo serviço,partida;equipe;jogador;estatistica;odd,Partidas; times; jogadores; estatísticas; odds,Referência de futebol localizada no índice; leitura direta retornou 502. Validar contrato e payload.,https://docs.sportdevs.com/docs/football/sportdevs,indice,2026-09-14,False,False
footystats,FootyStats API,APIs de futebol,API JSON,Freemium,Competições conforme assinatura,partida;equipe;jogador;estatistica,Gols; ambas marcam; over/under; escanteios; cartões; estatísticas,"Métricas agregadas exigem definição de amostra, temporada e mando.",https://footystats.org/api,documentacao,2026-09-14,False,False
opta,Opta / Stats Perform,Dados profissionais,Feeds/API comercial,Sob consulta,Futebol global conforme contrato,partida;jogador;evento;estatistica;rastreamento,Eventos; xG; estatísticas; dados posicionais em produtos específicos,Opta Data e Opta Vision são produtos distintos. Contar o grupo como uma fonte; não prometer tracking no feed básico.,https://www.statsperform.com/products/opta-data/,pagina,2026-09-14,False,False
hudl_statsbomb,Hudl Statsbomb comercial,Dados profissionais,API/plataforma sob contrato,Sob consulta,Ligas e temporadas contratadas,partida;jogador;evento;estatistica;rastreamento,Eventos detalhados; xG; pressão; contexto espacial conforme pacote,Separado do recorte Open Data; disponibilidade de 360 e outras extensões é contratual.,https://www.hudl.com/products/statsbomb,pagina,2026-09-14,False,False
wyscout,Hudl Wyscout comercial,Dados profissionais,Plataforma; dados/API sob contrato,Sob consulta,Scouting global conforme assinatura,jogador;equipe;partida;evento;estatistica;midia,Vídeos; scouting; jogadores; eventos; desempenho,Acesso à plataforma não implica acesso irrestrito à API nem direito de redistribuir vídeos.,https://www.hudl.com/products/wyscout,pagina,2026-09-14,False,False
skillcorner,SkillCorner comercial,Dados profissionais,Entrega de dados/API conforme contrato,Sob consulta,Competições com cobertura de vídeo,jogador;partida;rastreamento;estatistica,Tracking; métricas físicas; movimentação sem bola; eventos dinâmicos,Não confundir o catálogo comercial com os dez jogos de exemplo gratuitos.,https://skillcorner.com/,pagina,2026-09-14,False,False
genius_sports,Genius Sports / Second Spectrum,Dados profissionais,Feeds e produtos sob contrato,Sob consulta,Ligas e direitos contratados,partida;evento;rastreamento;estatistica,Dados oficiais; tracking; análises; conteúdo para transmissões,Second Spectrum pertence ao ecossistema Genius; tratado como uma família para evitar duplicação.,https://www.geniussports.com/,pagina,2026-09-14,False,False
impect_catapult,IMPECT / Catapult,Dados profissionais,Plataforma e dados sob consulta,Sob consulta,A confirmar no produto atual,jogador;estatistica,Scouting e avaliação de desempenho; investigar disponibilidade das métricas IMPECT,"O domínio IMPECT redirecionou para Catapult. Manter como candidato em transição, sem presumir continuidade de API ou de Packing.",https://www.impect.com/,redirecionamento,2026-09-14,False,False
soccerment,Soccerment,Dados profissionais,Plataforma e produtos comerciais,Sob consulta,Ligas e produtos selecionados,jogador;equipe;estatistica,Análise de desempenho; scouting; métricas derivadas,Solicitar definição das métricas e formato de exportação/API.,https://soccerment.com/,pagina,2026-09-14,False,False
statsbomb_open,StatsBomb Open Data,Bases para download,GitHub; JSON; sem chave,Download gratuito; licença própria,"Competições e temporadas selecionadas, incluindo futebol feminino",competicao;partida;jogador;escalacao;evento;rastreamento,Competições; jogos; lineups; eventos; 360 de jogos selecionados,"Não é feed ao vivo. Atribuição e termos próprios; 360 é contexto de eventos, não tracking contínuo.",https://github.com/hudl/open-data,repositorio,2026-09-14,False,False
metrica_open,Metrica Sports Sample Data,Bases para download,GitHub; CSV e formatos EPTS/JSON,Amostra gratuita; consultar termos,Poucos jogos de demonstração anonimizados,partida;evento;rastreamento,Posições de jogadores e bola; eventos sincronizados,Não serve como histórico identificado de clubes; coordenadas originais normalizadas e formatos variam entre amostras.,https://github.com/metrica-sports/sample-data,repositorio,2026-09-14,False,False
skillcorner_open,SkillCorner Open Data,Bases para download,GitHub; JSON/JSONL e CSV conforme arquivo,Download gratuito; consultar licença,Dez jogos de A-League 2024/25; agregados e amostras adicionais,partida;jogador;rastreamento;estatistica,Tracking de transmissão; eventos dinâmicos; agregados físicos; poses em amostra,Recorte de pesquisa; confirmar versão. Não atribuir nomes de campos de versões antigas ao snapshot atual.,https://github.com/SkillCorner/opendata,repositorio,2026-09-14,False,False
wyscout_research,Wyscout / Pappalardo et al. 2019,Bases para download,Figshare; arquivos JSON; descritor científico,Base de pesquisa; licença do depósito,Sete competições históricas do recorte publicado,partida;equipe;jogador;evento,Eventos; posição; tempo; jogador; tipo; resultado,"Base histórica publicada, distinta da API comercial. Mirrors são cópias e não novas fontes independentes.",https://www.nature.com/articles/s41597-019-0247-7,artigo_primario,2026-09-14,False,False
openfootball,OpenFootball / football.db,Bases para download,Repositórios GitHub; texto estruturado/JSON conforme coleção,Dados abertos; conferir licença por repositório,Ligas e torneios de diversas regiões,competicao;partida;equipe;classificacao,Calendários; resultados; clubes; competições,"Cobertura, formato e manutenção variam por repositório; não são estatísticas detalhadas de jogador.",https://github.com/openfootball,repositorio,2026-09-14,False,False
football_data_uk,Football-Data.co.uk,Bases para download,CSV por país/liga/temporada,Download gratuito; conferir termos de reutilização,Histórico de ligas nacionais selecionadas,partida;estatistica;odd,Resultados; gols; chutes; faltas; cartões; odds conforme arquivo,Colunas e casas mudam por temporada. Odds de fechamento só podem ser usadas após seu horário de observação.,https://football-data.co.uk/data.php,pagina,2026-09-14,False,False
engsoccerdata,engsoccerdata,Bases para download,GitHub; pacote R e tabelas,Download aberto; conferir licença,Histórico inglês e europeu; recorte publicado,competicao;partida;equipe,Data; temporada; divisão; mandante; visitante; gols,Arquivo histórico; não presumir atualização da temporada atual.,https://github.com/jalapic/engsoccerdata,repositorio,2026-09-14,False,False
international_results,International football results — martj42,Bases para download,Kaggle; CSV,Download; conta e licença a conferir,Seleções masculinas; histórico desde 1872 no título da coleção,partida;equipe,Data; seleções; placar; torneio; local; campo neutro,"Página localizada, mas schema não renderizou na consulta. Conferir arquivos e licença no download.",https://www.kaggle.com/datasets/martj42/international-football-results-from-1872-to-2017,pagina_parcial,2026-09-14,False,False
worldcup_fjelstul,Fjelstul World Cup Database,Bases para download,GitHub; tabelas e pacote R,Licença do repositório,Copas do Mundo masculinas e femininas; recorte publicado,competicao;partida;jogador;equipe;escalacao;evento,Torneios; seleções; jogadores; jogos; gols; elencos,Dataset retrospectivo; fixar versão e conferir últimas edições incluídas.,https://github.com/jfjelstul/worldcup,repositorio,2026-09-14,False,False
transfermarkt_dataset,transfermarkt-datasets — dcaribou,Bases para download,Snapshot DuckDB e CSV; repositório comunitário,Download; direitos da fonte original separados,Competições e jogadores cobertos pelo snapshot,jogador;equipe;partida;estatistica;transferencia;valor_mercado,Jogadores; clubes; jogos; aparições; avaliações; transferências,README informa snapshot até 06/07/2026 sem atualização corrente. Não usar como mercado ao vivo; dataset não oficial.,https://github.com/dcaribou/transfermarkt-datasets,repositorio,2026-09-14,False,False
european_soccer_sqlite,European Soccer Database — hugomathien,Bases para download,Kaggle; SQLite,Licença/conta a conferir,Recorte histórico de ligas europeias,partida;equipe;jogador;estatistica;odd,Jogos; atletas; atributos de videogame; odds históricas,Página sem schema renderizado; atributos de videogame não equivalem a métricas observadas em campo.,https://www.kaggle.com/datasets/hugomathien/soccer,pagina_parcial,2026-09-14,False,False
fivethirtyeight_spi,FiveThirtyEight Soccer SPI,Bases para download,GitHub; CSV histórico,Licença da coleção,Ligas e temporadas do arquivo publicado,partida;rating;previsao,Índices de força; probabilidades; gols projetados; resultados,"Fonte histórica, não recomendada para previsão corrente. Preservar significado original de SPI e versão do arquivo.",https://github.com/fivethirtyeight/data/tree/master/soccer-spi,repositorio,2026-09-14,False,False
brasileirao_dataset,Brasileirao_Dataset — adaoduque,Bases para download,GitHub; CSV,Licença a conferir,Campeonato Brasileiro; anos disponíveis nos arquivos,partida;evento;estatistica,Partidas; gols; cartões; estatísticas,"Projeto comunitário; validar origem, anos disponíveis, duplicatas e data da última coleta.",https://github.com/adaoduque/Brasileirao_Dataset,repositorio,2026-09-14,False,False
soccernet,SoccerNet,Bases para download,Pacote de download; anotações e mídia,Pesquisa; acesso a vídeos exige NDA,Amostras de futebol para visão computacional,partida;evento;rastreamento;midia,Vídeos; ações; tracking; identificação; calibração conforme tarefa,FAQ exclui uso comercial; vídeos exigem acordo. Os subconjuntos têm formatos e condições próprios.,https://www.soccer-net.org/data,documentacao,2026-09-14,False,False
transfermarkt,Transfermarkt,Portais estatísticos e históricos,Site; API pública oficial não confirmada,Consulta web; licença para coleta a confirmar,Mercado e perfis globais,jogador;equipe;transferencia;valor_mercado;indisponibilidade,Transferências; valores estimados; perfil; contrato; histórico,Página inicial retornou 403; páginas específicas localizadas no índice. Valor de mercado não é preço pago; taxas podem ser estimadas.,https://www.transfermarkt.com/statistik/neuestetransfers,indice,2026-09-14,False,False
fbref,FBref / Stathead,Portais estatísticos e históricos,Site e ferramentas de consulta,Consulta/assinatura conforme ferramenta,Histórico básico de competições masculinas e femininas,partida;equipe;jogador;estatistica,Jogos; gols; minutos e estatísticas básicas remanescentes,Sports Reference anunciou remoção dos dados avançados em 20/01/2026. Não listar como fonte garantida de xG detalhado atual.,https://www.sports-reference.com/blog/category/advanced-stats/,indice,2026-09-14,False,False
understat,Understat,Portais estatísticos e históricos,Site; API pública oficial não confirmada,Consulta web; reutilização a conferir,Principais ligas europeias listadas no portal,partida;equipe;jogador;estatistica;evento,xG; xA; finalizações; desempenho de times e atletas,Modelo próprio de xG; cobertura não global e extração precisa de avaliação técnica e de termos.,https://understat.com/,pagina,2026-09-14,False,False
sofascore,Sofascore,Portais estatísticos e históricos,Site/app; API pública para integração não confirmada,Consulta web; licenciamento a consultar,Competições globais,partida;equipe;jogador;estatistica;transferencia,Livescore; escalações; notas; estatísticas; transferências,Endpoints internos e serviços de terceiros não são automaticamente API oficial nem têm SLA.,https://www.sofascore.com/,pagina,2026-09-14,False,False
fotmob,FotMob,Portais estatísticos e históricos,Site/app; integração somente mediante autorização adequada,Consulta web,Futebol global,partida;noticia;transferencia;transmissao,Partidas; notícias; transferências; rumores; programação de TV,O rodapé proíbe serviços automáticos e uso sistemático/regular. Não recomendar crawler ou API interna como integração livre.,https://www.fotmob.com/,pagina,2026-09-14,False,False
flashscore,Flashscore,Portais estatísticos e históricos,Site/app; API pública oficial não confirmada,Consulta web; licença a consultar,Cobertura global multiesporte,partida;classificacao;estatistica;odd,Placar; calendário; tabelas; estatísticas; odds,Conferir cobertura por jogo e direito de acesso automatizado.,https://www.flashscore.com/,pagina,2026-09-14,False,False
soccerway,Soccerway,Portais estatísticos e históricos,Site,Consulta web; reutilização a conferir,Competições globais,partida;classificacao;equipe,Resultados; calendário; classificação,Página atual se apresenta junto à marca Soccer24; não presumir schema ou comportamento do site antigo.,https://www.soccerway.com/,pagina,2026-09-14,False,False
ogol,oGol / zerozero,Portais estatísticos e históricos,Site; tratar versões regionais como mesma família,Consulta web; reutilização a conferir,"Brasil, Portugal e futebol internacional; categorias diversas",partida;equipe;jogador;transferencia,Histórico; elencos; trajetórias; competições; notícias,Cobertura varia muito por categoria e época. oGol e zerozero não são confirmações independentes.,https://www.ogol.com.br/,pagina,2026-09-14,False,False
rsssf,RSSSF,Portais estatísticos e históricos,Páginas históricas de texto/HTML,Consulta gratuita; condições de cada contribuição,"Resultados de países e torneios, inclusive históricos raros",competicao;partida;classificacao,Resultados antigos; classificações; campeões; artilheiros,Estrutura irregular; atribuir compiladores e manter proveniência por página.,https://www.rsssf.com/,pagina,2026-09-14,False,False
national_football_teams,National Football Teams,Portais estatísticos e históricos,Site,Consulta web; reutilização a conferir,Seleções e carreiras dos jogadores,partida;equipe;jogador,Escalações de seleções; aparições; gols; carreira em clubes,Conferir critérios de partidas reconhecidas e cobertura histórica.,https://www.national-football-teams.com/,pagina,2026-09-14,False,False
worldfootball,Worldfootball.net,Portais estatísticos e históricos,Site candidato,A confirmar,Histórico e perfis; escopo atual a confirmar,partida;equipe;jogador,Resultados; perfis; competições históricas,"Falha de leitura nesta pesquisa. Candidato pendente, sem validação da oferta atual.",https://www.worldfootball.net/,pendente,2026-09-14,False,False
elevenv11,11v11,Portais estatísticos e históricos,Site; ferramentas de consulta,Consulta/assinatura conforme recurso,"Histórico de futebol, com profundidade britânica",partida;equipe;jogador,Confrontos; resultados; escalações históricas; perfis,"Verificar cobertura temporal, acesso e termos antes de extração.",https://www.11v11.com/,pagina,2026-09-14,False,False
asa,American Soccer Analysis,Portais estatísticos e históricos,Tabelas e publicações; verificar interface de dados,Consulta pública; termos a conferir,Futebol norte-americano conforme tabela,jogador;equipe;estatistica,xG; xP; goals added; análises de jogadores e clubes,Métricas têm metodologia própria. A rota API candidata testada retornou 404; API utilizável não foi validada.,https://www.americansocceranalysis.com/,pagina,2026-09-14,False,False
cbf,CBF — competições e documentos,Entidades oficiais,Site; tabelas e documentos PDF,Consulta pública; reutilização a conferir,Competições brasileiras organizadas pela CBF,competicao;partida;classificacao;escalacao;arbitro;bilheteria;documento,Calendário; súmulas; arbitragem; boletins financeiros; regulamentos,Página inicial falhou; publicações oficiais de súmulas e finanças foram localizadas. Documentos variam por competição.,https://www.cbf.com.br/a-cbf/noticias/detalhes/arbitragem/cbf-divulga-sumulas-do-brasileirao-serie-a-b-c-e-d,indice,2026-09-14,False,False
cbf_bid,CBF BID,Entidades oficiais,Portal público de consulta,Consulta pública; sem API pública confirmada,Registros de atletas no Brasil,registro;jogador;equipe,Atleta; clube; data de publicação; movimentação registral,Registro no BID não equivale sozinho a preço de transferência nem comprova todas as condições de elegibilidade em uma competição.,https://bid.cbf.com.br/,pagina,2026-09-14,False,False
fpf_sp,Federação Paulista de Futebol,Entidades oficiais,Site; documentos de competição,Consulta pública; reutilização a conferir,"São Paulo; profissional, feminino e base conforme competição",competicao;partida;classificacao;documento,Tabelas; jogos; regulamentos; súmulas a verificar por edição,Site respondeu sem texto extraível; validar documentos específicos antes da integração.,https://futebolpaulista.com.br/,pagina_parcial,2026-09-14,False,False
ferj,Federação de Futebol do Rio de Janeiro,Entidades oficiais,Site; documentos,Consulta pública; reutilização a conferir,Competições estaduais do RJ,competicao;partida;classificacao;noticia;documento,Jogos; categorias de base; tabelas; notícias; documentos,Confirmar cobertura por divisão e formato de cada documento.,https://www.fferj.com.br/,pagina,2026-09-14,False,False
fifa,FIFA — competições,Entidades oficiais,Site e páginas de torneios,Consulta pública; licença a conferir,Torneios FIFA; modalidades e categorias distintas,competicao;partida;equipe;jogador;noticia,Torneios; calendários; resultados; participantes; notícias,Homepage sem texto extraível nesta consulta; validar páginas de cada competição. Não há API pública universal confirmada.,https://www.fifa.com/,pagina_parcial,2026-09-14,False,False
fifa_transfers,FIFA — sistema e relatórios de transferências,Entidades oficiais,Relatórios/páginas públicos; TMS restrito,Relatórios públicos; acesso operacional restrito,Transferências internacionais; agregados publicados,relatorio_mercado;documento,Volume; gastos agregados; associações; períodos de mercado,TMS não é base aberta de contratos individuais. Relatórios não substituem histórico de cada atleta.,https://inside.fifa.com/transfer-system,pagina,2026-09-14,False,False
uefa,UEFA,Entidades oficiais,Site; estatísticas e relatórios,Consulta pública; reutilização a conferir,Competições europeias de clubes e seleções,competicao;partida;classificacao;jogador;rating;documento,Jogos; estatísticas; coeficientes; documentos de competição,Coeficiente UEFA tem finalidade distinta de Elo; validar categoria e temporada.,https://www.uefa.com/,pagina,2026-09-14,False,False
conmebol,CONMEBOL,Entidades oficiais,Site e documentos de torneios,Consulta pública; reutilização a conferir,Competições sul-americanas,competicao;partida;noticia;documento,Torneios; notícias; calendários; regulamentos; relatórios,Homepage falhou; documentos oficiais aparecem no índice. Rota de extração de resultados ainda pendente.,https://www.conmebol.com/,pendente,2026-09-14,False,False
concacaf,Concacaf,Entidades oficiais,Site de competições,Consulta pública; reutilização a conferir,"América do Norte, Central e Caribe",competicao;partida;classificacao;noticia,Resultados; calendário; classificações; notícias,Conferir profundidade de dados por categoria e edição.,https://www.concacaf.com/,pagina,2026-09-14,False,False
caf,CAF,Entidades oficiais,Site de competições,Consulta pública; reutilização a conferir,África; clubes e seleções,competicao;partida;noticia;documento,Torneios; resultados; notícias; documentos,Cobertura de estatísticas detalhadas não foi auditada jogo a jogo.,https://www.cafonline.com/,pagina,2026-09-14,False,False
afc,AFC,Entidades oficiais,Site de competições,Consulta pública; reutilização a conferir,Ásia; clubes e seleções,competicao;partida;noticia,Torneios; resultados e notícias a confirmar nas páginas internas,Homepage respondeu sem conteúdo extraível; manter validação operacional pendente.,https://www.the-afc.com/,pagina_parcial,2026-09-14,False,False
ofc,Oceania Football Confederation,Entidades oficiais,Site de competições,Consulta pública; reutilização a conferir,"Oceania; clubes, seleções e categorias",competicao;partida;noticia,Calendários; resultados; notícias regionais,Útil para ampliar cobertura fora das grandes ligas; conferir arquivos por torneio.,https://www.oceaniafootball.com/,pagina,2026-09-14,False,False
premier_league,Premier League,Ligas oficiais,Site; centros de partidas e estatísticas,Consulta pública; reutilização a conferir,Primeira divisão inglesa,competicao;partida;classificacao;jogador;estatistica;noticia,Calendário; resultados; tabelas; jogadores; estatísticas,Site oficial não implica API pública. Formatos internos podem mudar.,https://www.premierleague.com/,pagina,2026-09-14,False,False
efl,English Football League,Ligas oficiais,Site,Consulta pública; reutilização a conferir,"Championship, League One, League Two e copas da entidade",competicao;partida;classificacao;noticia,Divisões inferiores inglesas; jogos; tabelas; notícias,Validar separadamente cada competição e temporada.,https://www.efl.com/,pagina,2026-09-14,False,False
laliga,LALIGA,Ligas oficiais,Site,Consulta pública; reutilização a conferir,Competições profissionais espanholas da liga,competicao;partida;classificacao;jogador;estatistica,Jogos; tabela; clubes; jogadores; estatísticas,Versão do site pode variar por região; não pressupor acesso ao feed profissional.,https://www.laliga.com/,pagina,2026-09-14,False,False
bundesliga,Bundesliga / DFL,Ligas oficiais,Site,Consulta pública; reutilização a conferir,Bundesliga e 2. Bundesliga,competicao;partida;classificacao;jogador;estatistica,Resultados; classificação; estatísticas; dados de jogadores,Dados físicos e Match Facts dependem de partida e produto; não garantir exportação em massa.,https://www.bundesliga.com/en/bundesliga,pagina,2026-09-14,False,False
serie_a,Lega Serie A,Ligas oficiais,Site,Consulta pública; reutilização a conferir,Competições organizadas pela liga italiana,competicao;partida;classificacao;estatistica,Calendário; resultados; tabelas; estatísticas a conferir,Página respondeu sem texto extraível; estrutura atual requer validação adicional.,https://www.legaseriea.it/,pagina_parcial,2026-09-14,False,False
ligue1,Ligue 1 / LFP,Ligas oficiais,Site,Consulta pública; reutilização a conferir,Ligue 1 e Ligue 2,competicao;partida;classificacao;noticia,Calendário; resultados; classificação; notícias,Site atual possui conteúdo dinâmico; endpoints de dados não foram validados.,https://ligue1.com/en,pagina_parcial,2026-09-14,False,False
mls,Major League Soccer,Ligas oficiais,Site; Transfer Tracker,Consulta pública; reutilização a conferir,MLS,competicao;partida;jogador;transferencia;noticia,Jogos; clubes; notícias; entradas e saídas de atletas,Confirmação editorial da liga ajuda a distinguir anúncio de rumor.,https://www.mlssoccer.com/,pagina,2026-09-14,False,False
nwsl,National Women's Soccer League,Ligas oficiais,Site; estatísticas e relatórios de disponibilidade,Consulta pública; reutilização a conferir,Futebol feminino dos EUA,partida;jogador;estatistica;indisponibilidade;sancao,Jogos; estatísticas; atletas; availability report; disciplinary report,Reportar situação e data da publicação; ausência não permite inferir diagnóstico.,https://www.nwslsoccer.com/,pagina,2026-09-14,False,False
wsl,WSL Football,Ligas oficiais,Site,Consulta pública; reutilização a conferir,WSL e WSL2; futebol feminino inglês,competicao;partida;classificacao;noticia,Jogos; clubes; calendário; notícias,Domínio antigo da FA redirecionou para wslfootball.com; usar endereço atual.,https://www.wslfootball.com/,pagina,2026-09-14,False,False
jleague,J.LEAGUE,Ligas oficiais,Site,Consulta pública; reutilização a conferir,Futebol profissional japonês,competicao;partida;classificacao;jogador;estatistica,Jogos; classificação; clubes; jogadores,Endereço internacional redirecionou para jleague.jp/en; confirmar profundidade por divisão.,https://www.jleague.jp/en/,pagina,2026-09-14,False,False
kleague,K LEAGUE,Ligas oficiais,Site,Consulta pública; reutilização a conferir,Coreia do Sul,competicao;partida;classificacao;jogador,Partidas; classificação; clubes; perfis,"Parte da documentação está em coreano; validar caracteres, nomes e IDs.",https://www.kleague.com/index.do,pagina,2026-09-14,False,False
aleagues,A-Leagues,Ligas oficiais,Site,Consulta pública; reutilização a conferir,Austrália/Nova Zelândia; masculino e feminino,competicao;partida;classificacao;noticia,Jogos; tabela; notícias; elencos conforme páginas,Separar ligas masculina e feminina e nomenclaturas de temporadas.,https://aleagues.com.au/,pagina,2026-09-14,False,False
ge,ge,Notícias e redações,Site editorial,Consulta web; licenciamento separado,Brasil e futebol internacional; português,noticia,Título; URL; publicação; autoria quando disponível; clube citado,Forte cobertura regional. Feed RSS/API oficial de futebol não foi validado.,https://ge.globo.com/futebol/,pagina,2026-09-14,False,False
uol,UOL Esporte,Notícias e redações,Site editorial,Consulta/assinatura conforme conteúdo,Brasil e internacional; português,noticia,Notícias; bastidores; colunas; entrevistas,"Distinguir reportagem, opinião e republicação. API pública de notícias não confirmada.",https://www.uol.com.br/esporte/futebol/,pagina,2026-09-14,False,False
espn,ESPN Brasil,Notícias e redações,Site editorial e placares,Consulta web; licenciamento separado,Brasil e internacional; português,noticia;partida,Notícias; análise; placares; agenda,Endpoints internos não são contrato de API pública. ESPN e ESPN Brasil são uma família editorial neste catálogo.,https://www.espn.com.br/futebol/,pagina,2026-09-14,False,False
lance,Lance!,Notícias e redações,Site editorial,Consulta web; licenciamento separado,Brasil; português,noticia,Clubes; partidas; mercado; entrevistas,Conferir autoria e origem das informações de mercado.,https://www.lance.com.br/,pagina,2026-09-14,False,False
gazeta,Gazeta Esportiva,Notícias e redações,Site editorial,Consulta web; licenciamento separado,Brasil; português,noticia,Notícias de clubes; pré-jogo; pós-jogo; mercado,Possível conteúdo sindicado precisa de deduplicação por origem.,https://www.gazetaesportiva.com/,pagina,2026-09-14,False,False
trivela,Trivela,Notícias e redações,Site editorial; RSS candidato,Consulta web; licenciamento separado,Brasil e internacional; português,noticia,Notícias; contexto; análises; mercado,Rota /feed/ não pôde ser validada pelo navegador desta pesquisa.,https://trivela.com.br/,pagina,2026-09-14,False,False
tnt_sports,TNT Sports Brasil,Notícias e redações,Site editorial,Consulta web; direitos de mídia separados,Brasil e internacional; português,noticia;midia,Notícias; entrevistas; vídeos; competições,Link para vídeo não concede direito de baixar ou republicar sua mídia.,https://tntsports.com.br/,pagina,2026-09-14,False,False
